ward_code,ward_name,total_ward_pop,imd_score,income_score,employment_score,education_score,health_score,crime_score,housing_services_score,living_env_score,wider_det_score
E05000932,Ainsdale,8,20134.75,20852.75,15490.25,18796.625,14433.5,17785.125,23935.875,26618.375,25277.12
E05000933,Birkdale,9,19097.56,18727.88888888889,16202.555555555555,20087.666666666668,14230.222222222223,21629.222222222223,25567.222222222223,12491.888888888889,19029.56
E05000934,Blundellsands,8,26212.38,26796.625,23372.125,27686.125,18717.125,25557.375,30703.5,13091.375,21897.44
E05000935,Cambridge,8,12395.25,14368.625,8959.5,14095.375,6703.375,18149.75,22831.875,15881.5,19356.69
E05000936,Church,8,8812.62,11146.125,6964.875,13332.25,6056.875,9392.875,31239.375,5977.25,18608.31
E05000937,Derby,9,3469,5182.444444444444,3417.3333333333335,4797.444444444444,1622.2222222222222,6343,31675.11111111111,4695.777777777777,18185.44
E05000938,Duke's,10,11354.6,14294.8,9813,12299.4,6970.6,12720.3,23763.5,8112.5,15938
E05000939,Ford,10,7593.9,7936.6,5894.6,7938.8,4341.5,10250.5,30304.3,17310.1,23807.2
E05000940,Harington,9,29341.78,29974.777777777777,24440.333333333332,28188.444444444445,21006,25434.88888888889,27086.333333333332,27754.444444444445,27420.39
E05000941,Kew,8,12464.5,11626.625,11350,15314.125,8137.125,16192.875,24272.25,11443.25,17857.75
E05000942,Linacre,9,511.56,1056.2222222222222,465.1111111111111,1064.3333333333333,320.3333333333333,2405.222222222222,27283.222222222223,7322.222222222223,17302.72
E05000943,Litherland,7,8665.29,9076.42857142857,6731,9014,5237.142857142857,12034.42857142857,30690.571428571428,9938.285714285714,20314.43
E05000944,Manor,9,16780.44,17644.11111111111,13235.333333333334,17290.222222222223,11672.666666666666,20291.666666666668,24391.88888888889,20591.88888888889,22491.89
E05000945,Meols,9,22122.67,22172.333333333332,18273.444444444445,21209.222222222223,13425,26253.777777777777,21520,20760.444444444445,21140.22
E05000946,Molyneux,8,19472.38,21688.625,15403,17092.625,12313.125,22304.125,25051.25,15543.875,20297.56
E05000947,Netherton and Orrell,8,9057.25,9433.625,6968,8095.875,4966.75,13851.125,30442.375,16354,23398.19
E05000948,Norwood,10,13347.2,13118.8,11975.5,15692.4,9827.4,18845.3,26309.9,7671.6,16990.75
E05000949,Park,9,26124.22,26214.11111111111,22002,23233.222222222223,16225.555555555555,27318.777777777777,26707.444444444445,22035.222222222223,24371.33
E05000950,Ravenmeols,8,23654,21330,17792.125,22131.875,16847.375,25309.75,27515.125,22874.875,25195
E05000951,St Oswald,9,6372.78,6835.888888888889,4391.222222222223,5895,3856.4444444444443,9596.222222222223,26541.444444444445,21339.88888888889,23940.67
E05000952,Sudell,9,22198,22201.444444444445,17960.11111111111,19356.555555555555,14728.777777777777,22811.444444444445,29714.222222222223,19503.555555555555,24608.89
E05000953,Victoria,9,21806.44,22680.11111111111,20863,26215.444444444445,15846.222222222223,21326.11111111111,32923,6621.888888888889,19772.44
E05000954,Bebington,10,21471.6,22036.3,18333.2,25778.9,12729.7,19990.4,33388.3,12913.5,23150.9
E05000955,Bidston and St James,10,3584.7,3938.4,2836,4250.2,1661.3,5657.7,30443.4,16617.4,23530.4
E05000956,Birkenhead and Tranmere,11,1089.45,1752.4545454545455,1062.1818181818182,2719.7272727272725,737,2803.6363636363635,33217.27272727273,4016.3636363636365,18616.82
E05000957,Bromborough,10,13620.7,14083.7,12179.5,14344.3,7452.5,14170,32417,12428.1,22422.55
E05000958,Clatterbridge,10,26472.3,27545.3,23389.5,29234.7,15552.9,30664,26675.5,21727.7,24201.6
E05000959,Claughton,9,9993.89,11606,8085.222222222223,13012.111111111111,5044.777777777777,11017.777777777777,32349.777777777777,10535.111111111111,21442.44
E05000960,Eastham,9,21721.44,20927.555555555555,17691.777777777777,22546.11111111111,12177.222222222223,22785.444444444445,29489.11111111111,21912.222222222223,25700.67
E05000961,"Greasby, Frankby and Irby",10,28855.9,28380.4,23439.7,30114.9,18018.6,29319.5,27425.2,24214.4,25819.8
E05000962,Heswall,9,30749.78,30276,28263,31550.11111111111,23707.11111111111,29656.555555555555,22327.777777777777,26099.777777777777,24213.78
E05000963,Hoylake and Meols,8,23275.25,25493.875,20159.75,28931.5,15336.25,21907.875,27720.75,12103.125,19911.94
E05000964,Leasowe and Moreton East,9,8556,8388,6315.888888888889,8116.888888888889,4443.777777777777,12739.444444444445,29627.555555555555,21684.444444444445,25656
E05000965,Liscard,10,7469.1,10397.1,6770.9,9793.4,4035.4,11484.8,33509.2,3286.4,18397.8
E05000966,Moreton West and Saughall Massie,9,16860.56,16547.444444444445,13073.666666666666,15503.222222222223,9150.666666666666,21980,27768.222222222223,22510.666666666668,25139.44
E05000967,New Brighton,10,9216,12867.6,8651.3,15000,4974.1,13460.7,33234.1,2295.4,17764.75
E05000968,Oxton,9,19422,20260.333333333332,15329.222222222223,23737.444444444445,9718.888888888889,19221.333333333332,33341.444444444445,14828.888888888889,24085.17
E05000969,Pensby and Thingwall,8,23141.5,21803.375,17386.875,25697.625,13225.875,26278.875,24491.875,24242.625,24367.25
E05000970,Prenton,9,16224.33,17138.11111111111,13207.777777777777,19263.222222222223,7814.444444444444,20429.11111111111,33053.22222222222,13182.888888888889,23118.06
E05000971,Rock Ferry,9,3302,4450.111111111111,3111.8888888888887,5473.333333333333,1060,6322,33252.666666666664,7403.222222222223,20327.94
E05000972,Seacombe,10,1714.1,2963.6,1573.2,2877.8,1057,5283.8,32915.8,4553.9,18734.85
E05000973,Upton,11,12433.45,11958.727272727272,9477.545454545454,13736.272727272728,6164.636363636364,15026,30529.272727272728,23109.636363636364,26819.45
E05000974,Wallasey,10,20316.8,22481.9,18026.5,24238,13173.8,22787.6,33528.3,5647.6,19587.95
E05000975,West Kirby and Thurstaston,9,27065.33,26647.11111111111,24114.666666666668,28564,18668,27650.444444444445,27084.444444444445,21968.11111111111,24526.28
E05000976,Central,7,8643,11598.714285714286,8503.285714285714,8584.714285714286,4595.285714285715,5501.714285714285,31119.85714285714,10748.142857142857,20934
